College Name,City,State,Score,Rank
Vishnu Institute of Pharmaceutical Education and Research,Narsapur,Telangana,41.19,87
Kakatiya University,"Hanamkonda, Warangal",Telangana,41.15,88
Vinayaka Mission's Research Foundation,Salem,Tamil Nadu,41.01,89
Ramanbhai Patel College of Pharmacy,Anand,Gujarat,40.90,90
"Uka Tarsadia University, Bardoli",Bardoli,Gujarat,40.87,91
Shri Vishnu College of Pharmacy,Bhimavaram,Andhra Pradesh,40.72,92
Goa College of Pharmacy,Panaji,Goa,40.69,93
Dr. B. C. Roy College of Pharmacy and Allied Health Sciences,Durgapur,West Bengal,40.67,94
CMR College of Pharmacy,Rangareddy,Telangana,40.51,95
P. E. Society`s Modern College of Pharmacy,Pune,Maharashtra,40.30,96
Principal K.M. Kundnani College of Pharmacy,Mumbai,Maharashtra,40.23,97
Krupanidhi College of Pharmacy,Bengaluru,Karnataka,40.10,98
AISSMS College of Pharmacy,Pune,Maharashtra,39.97,99
"College of Pharmacy, Pandit Bhagwat Dayal Sharma University of Health Sciences",Rohtak,Haryana,39.54,100
