College Name,City,State,Score,Rank
"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,45.43,91
Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,45.40,92
Christ University,Bengaluru,Karnataka,45.02,93
Chitkara University,Rajpura,Punjab,44.82,94
"Jain University, Bangalore",Bengaluru,Karnataka,44.61,95
"C.V. Raman Global University, Odisha",Bhubaneswar,Odisha,44.55,96
National Institute of Technology Puducherry,Karaikal,Pondicherry,44.38,97
SR University,Warangal,Telangana,44.29,98
R.V. College of Engineering,Bengaluru,Karnataka,44.26,99
Siddaganga Institute of Technology,Tumkur,Karnataka,43.95,100
